feature_0,feature_1,clor_val
0.14624299,0.1304909,0.1304909
0.13114208,0.32371432,0.13114208
0.1849051,0.15996164,0.16090569
0.15369861,0.20372887,0.17639044
0.18847972,0.16755341,0.19152927
0.1282251,0.16041541,0.1678014
0.13164623,0.14789812,0.12162232
0.12162232,0.14789812,0.13164623
0.12162232,0.13164623,0.14789812
0.20443173,0.06428066,0.14509404
0.14509404,0.16151051,0.20443173
0.15846533,0.16334529,0.15083283
0.20443173,0.15430237,0.16151051
0.16151051,0.15430237,0.15430237
0.15620947,0.17553286,0.31831774
0.2794283,0.14672841,0.15721008
0.15721008,0.2794283,0.14672841
0.22842026,0.16883944,0.17365058
0.14978015,0.12075407,0.10186767
0.1263095,0.1388897,0.13772
0.18117051,0.2729127,0.2729127
0.1591252,0.18926886,0.22317526
0.20621099,0.25553578,0.25553578
0.2543764,0.21209696,0.2543764
0.14270309,0.13794056,0.15600203
0.164615,0.22438014,0.16954468
0.2126732,0.25142905,0.20301244
0.20301244,0.2126732,0.25142905
0.21308182,0.21672128,0.22556977
0.18222217,0.19236375,0.2077003
0.21701518,0.21701518,0.21468031
0.18600251,0.18568167,0.18240435
0.20076814,0.20917954,0.20092945
0.19110784,0.21360275,0.18256634
0.15652749,0.1984399,0.2009616
0.19818208,0.18700223,0.18999156
0.19280404,0.24670888,0.21717946
0.2489767,0.22635838,0.24004486
0.24015008,0.24015008,0.31183365
0.2998354,0.26696783,0.28418687
0.28418687,0.2998354,0.26696783
0.22963734,0.1720438,0.27517566
0.2170916,0.2998354,0.2423519
0.2423519,0.22146146,0.2170916
0.19244947,0.21661815,0.21611366
0.18269984,0.28120697,0.26059166
0.24044752,0.24412766,0.23972633
0.21287423,0.20028608,0.20028608
0.19878267,0.20338234,0.18410923
0.09931896,0.2631742,0.19026248
0.18359955,0.20011468,0.22196226
0.13132754,0.25782084,0.14564951
0.25782084,0.22519562,0.22247015
0.18257631,0.19529265,0.1591829
0.19761997,0.23571216,0.23571216
0.14856324,0.15150334,0.2577194
0.14856324,0.2577194,0.15150334
0.14553085,0.15004073,0.14429691
0.15429986,0.13907814,0.13907814
0.15029058,0.15029058,0.15029058
0.17325024,0.17325024,0.17325024
0.17519782,0.17519782,0.17519782
0.1926676,0.1926676,0.1926676
0.1264634,0.1264634,0.1264634
0.1264634,0.1264634,0.1264634
0.1264634,0.1264634,0.1264634
0.114953026,0.114953026,0.114953026
0.114953026,0.1296529,0.114953026
0.16576599,0.16576599,0.16576599
0.114953026,0.1296529,0.1296529
0.1296529,0.1296529,0.1296529
0.15927456,0.15927456,0.15927456
0.15064168,0.15064168,0.15064168
0.15064168,0.15064168,0.15064168
0.17903307,0.1534505,0.1534505
0.17439,0.19259535,0.17439
0.14095463,0.14095463,0.14095463
0.14192946,0.16586496,0.17409529
0.15323503,0.15323503,0.15323503
0.17799082,0.17799082,0.17799082
0.20364334,0.24774009,0.20364334
0.1939729,0.18968587,0.19558829
0.20135212,0.19249035,0.20135212
0.15415739,0.15415739,0.15415739
0.15415739,0.15415739,0.15415739
0.17009552,0.17009552,0.17009552
0.19153169,0.19031262,0.19031262
0.23049271,0.23049271,0.23049271
0.18703261,0.18703261,0.18703261
0.19305317,0.1982524,0.1982524
0.19026496,0.19026496,0.19026496
0.19881904,0.19881904,0.19881904
0.1948571,0.1948571,0.1948571
0.17729999,0.19649538,0.17729999
0.18754357,0.19158185,0.19158185
0.19158185,0.19158185,0.19158185
0.21928023,0.21928023,0.22111703
0.22111703,0.21928023,0.21928023
0.20556009,0.20556009,0.2197649
0.22020583,0.21928023,0.22111703
0.22111703,0.22020583,0.22020583
0.22064112,0.22064112,0.22064112
0.20479079,0.21997985,0.21653792
0.22020583,0.22163521,0.22163521
0.21653792,0.22684158,0.21653792
0.23922133,0.23922133,0.24103971
0.2456659,0.2347876,0.2347876
0.22905338,0.23760565,0.22905338
0.22132774,0.24453361,0.24895616
0.24453361,0.24453361,0.24453361
0.24051611,0.24051611,0.23776627
0.25624967,0.25624967,0.25624967
0.26764885,0.26764885,0.26764885
0.26764885,0.26764885,0.26764885
0.25977686,0.25977686,0.25054824
0.24611655,0.26179957,0.257501
0.25140554,0.2663808,0.25140554
0.30117568,0.30117568,0.30117568
0.26356146,0.28740847,0.2779435
0.3676932,0.38747007,0.3676932
0.2643945,0.24931158,0.26319703
0.26319703,0.24931158,0.2643945
0.26319703,0.2643945,0.24931158
0.25937918,0.26047757,0.25480664
0.25480664,0.25937918,0.25937918
0.2669804,0.26385653,0.25967237
0.25937918,0.267523,0.25937918
0.25937918,0.267523,0.267523
0.2754517,0.27513278,0.26599672
0.26860398,0.26978624,0.26860398
0.26860398,0.26860398,0.26978624
0.26012668,0.25918415,0.26104674
0.2574975,0.25112242,0.2527347
0.26824304,0.25082743,0.25082743
0.24458812,0.2499572,0.24466158
0.25484464,0.2579385,0.24964443
0.25649738,0.25649738,0.250249
0.25003812,0.24014458,0.25003812
0.23384383,0.23384383,0.23384383
0.23425028,0.2187121,0.23021285
0.21661848,0.22447139,0.22447139
0.22447139,0.21661848,0.22447139
0.20872569,0.20872569,0.20478235
0.21921915,0.21731712,0.2151929
0.19618405,0.19618405,0.19308132
0.19410612,0.20415625,0.20415625
0.3731569,0.29944843,0.33416802
0.29255354,0.29255354,0.26749006
0.26978397,0.2867362,0.2815308
0.2992335,0.2992335,0.30286112
0.29750776,0.30066723,0.30606514
0.325427,0.30961478,0.3199318
0.3191686,0.30714515,0.30913383
0.37407506,0.3413111,0.3413111
0.3413111,0.37407506,0.3413111
0.39523596,0.40599623,0.40599623
0.36527422,0.37407506,0.3355565
0.3355565,0.36527422,0.36527422
0.39771566,0.36887103,0.36887103
0.38782942,0.36695713,0.36356917
0.37231046,0.3854671,0.37420607
0.3683637,0.3517338,0.36643565
0.36731124,0.36731124,0.3696932
0.4980559,0.50995845,0.5078189
0.49272352,0.46270594,0.46090132
0.4153916,0.39432865,0.370304
0.39432865,0.38127246,0.3836124
0.42814127,0.40603492,0.36584207
0.31807286,0.299033,0.30603114
0.23463713,0.24058445,0.23976141
0.23463713,0.23976141,0.24058445
