feature_0,feature_1,feature_2,clor_val
0.241455,0.15784839,0.18216614,0.241455
0.13648798,0.17255025,0.13583545,0.15408535
0.241455,0.1849051,0.18216614,0.241455
0.241455,0.16090569,0.15996164,0.1849051
0.13900247,0.17780724,0.13583545,0.15043396
0.1282251,0.1257116,0.16041541,0.11882957
0.11882957,0.1282251,0.16041541,0.1257116
0.1687384,0.15249923,0.15493609,0.2160217
0.2160217,0.1687384,0.15493609,0.15249923
0.1687384,0.15493609,0.16098705,0.1483329
0.1687384,0.1483329,0.15493609,0.16098705
0.16310184,0.157985,0.17485169,0.15278083
0.16685978,0.17311795,0.16473551,0.1698588
0.1619541,0.1951808,0.15661798,0.13742277
0.17657319,0.1744636,0.18343545,0.17884795
0.17311795,0.17170599,0.16473551,0.16639376
0.1951808,0.15661798,0.16018663,0.1536585
0.1657764,0.16648504,0.19694702,0.1657764
0.09514734,0.15620947,0.15620947,0.13499688
0.13007663,0.15946406,0.15392488,0.13574451
0.15430237,0.1642499,0.16402341,0.15430237
0.16402341,0.16297296,0.15646714,0.20412798
0.15721008,0.16823857,0.14672841,0.2794283
0.12861751,0.2794283,0.22842026,0.16823857
0.16883944,0.15819778,0.15060064,0.15819778
0.12861751,0.16823857,0.17365058,0.22842026
0.15819778,0.15060064,0.14978015,0.15060064
0.11029887,0.10186767,0.12240138,0.12075407
0.1263095,0.13039282,0.1263095,0.12377689
0.13039282,0.1263095,0.1357055,0.13373221
0.16767435,0.19492568,0.20537902,0.18923143
0.16245231,0.11029887,0.17585202,0.16620491
0.19614068,0.18852246,0.17942761,0.1795035
0.1676711,0.1807984,0.2729127,0.1807984
0.22317526,0.14826804,0.18926886,0.1591252
0.14958088,0.1509656,0.15594852,0.14958088
0.18318634,0.19132148,0.18272156,0.19067429
0.22317526,0.1591252,0.15304948,0.18926886
0.18926886,0.18226972,0.17075153,0.15304948
0.16573665,0.16607828,0.18083583,0.13752857
0.16607828,0.18083583,0.17686208,0.17627224
0.15304948,0.17075153,0.17394106,0.18226972
0.16981038,0.16981038,0.17677663,0.15739623
0.16671167,0.17504218,0.18218213,0.39172044
0.17725265,0.18346882,0.18697779,0.45262158
0.17394106,0.17246771,0.18624921,0.4425438
0.1497931,0.20621099,0.20621099,0.34573084
0.20621099,0.20621099,0.25553578,0.25553578
0.34573084,0.20621099,0.25553578,0.20621099
0.14141342,0.18084006,0.21311533,0.21311533
0.16244529,0.18484151,0.20943688,0.19343132
0.21441148,0.21482392,0.24526526,0.22300541
0.22989547,0.18961887,0.22049452,0.19988579
0.19940406,0.18696871,0.17585109,0.23883224
0.18061872,0.17578915,0.20336281,0.16391098
0.18765628,0.19275877,0.18757387,0.1789287
0.16391098,0.17144904,0.20336281,0.17578915
0.16391098,0.17578915,0.17144904,0.20336281
0.17578915,0.18270226,0.20336281,0.17144904
0.19739483,0.17144904,0.16618608,0.18270226
0.20006493,0.19339296,0.18078111,0.18761314
0.20107412,0.18559581,0.20891008,0.20981836
0.20770925,0.23482813,0.2126732,0.4288193
0.4288193,0.20301244,0.25142905,0.2126732
0.18041214,0.1947963,0.21067277,0.18818434
0.18041214,0.18818434,0.1947963,0.21067277
0.23887557,0.18795972,0.14316013,0.25990164
0.25990164,0.23887557,0.14316013,0.18795972
0.2384709,0.20056242,0.21351731,0.21351731
0.2132226,0.17718622,0.19144228,0.19144228
0.16204032,0.19733843,0.23284069,0.27331543
0.21463318,0.21174872,0.21354847,0.21638273
0.2095193,0.21010229,0.21265149,0.24023473
0.21247306,0.19691536,0.28365052,0.19691536
0.18431023,0.16339682,0.18431023,0.16339682
0.16339682,0.16339682,0.18431023,0.18431023
0.15814655,0.15061848,0.19051632,0.15814655
0.18947124,0.16441523,0.22301458,0.12474354
0.22903556,0.22105941,0.24315944,0.19341698
0.17495601,0.22184709,0.21439351,0.22868255
0.17089596,0.20305218,0.1902527,0.17630701
0.17630701,0.22869435,0.25003868,0.1902527
0.1902527,0.22869435,0.22869435,0.25003868
0.2652743,0.29325035,0.25116977,0.2652743
0.26742178,0.2315319,0.27406552,0.24793592
0.16068651,0.17630327,0.21825896,0.18818624
0.25206444,0.25613955,0.23797397,0.2543447
0.21355292,0.18845898,0.20136729,0.19534154
0.19534154,0.21355292,0.20136729,0.18845898
0.20136729,0.21036059,0.2290825,0.19903407
0.24004486,0.22635838,0.24015008,0.2489767
0.22635838,0.24015008,0.31183365,0.24015008
0.15220739,0.23445223,0.20924892,0.18590331
0.20924892,0.18477663,0.20924892,0.18423823
0.18222007,0.28206584,0.2518905,0.23658483
0.27517566,0.1720438,0.15220739,0.22963734
0.20924892,0.27286538,0.18423823,0.20924892
0.23050536,0.16703998,0.21999124,0.21185046
0.27517566,0.22963734,0.15220739,0.1720438
0.2423519,0.28418687,0.26696783,0.2998354
0.2170916,0.24044752,0.24412766,0.22146146
0.24778308,0.25898337,0.26321846,0.42008227
0.22146146,0.24412766,0.23972633,0.24044752
0.22146146,0.24044752,0.23972633,0.24412766
0.19878267,0.21177953,0.20729403,0.21177953
0.26244026,0.3301736,0.23787215,0.3743412
0.2115997,0.2154547,0.20126125,0.21968822
0.14564951,0.22247015,0.22519562,0.25782084
0.22236905,0.21209663,8.720054,0.41688836
0.22236905,0.41688836,0.21209663,8.720054
0.16626711,0.15542702,0.15426515,0.12085431
0.12085431,0.16626711,0.15426515,0.15542702
0.15029058,0.12462521,0.12462521,0.12462521
0.15004073,0.16299666,0.16299666,0.16299666
0.12462521,0.15029058,0.12462521,0.15029058
0.15029058,0.15029058,0.15029058,0.15029058
0.17543344,0.17543344,0.16299666,0.17543344
0.1926676,0.1926676,0.1926676,0.1926676
0.1926676,0.1926676,0.1926676,0.1926676
0.13395073,0.13395073,0.13395073,0.13395073
0.13395073,0.13395073,0.13395073,0.13395073
0.13395073,0.13395073,0.13395073,0.13395073
0.13395073,0.13395073,0.13395073,0.13395073
0.15534475,0.15534475,0.15303789,0.15534475
0.21393809,0.21393809,0.21393809,0.21393809
0.15991072,0.15991072,0.16566777,0.15991072
0.16857925,0.16857925,0.16857925,0.16857925
0.21393809,0.21393809,0.21393809,0.21393809
0.15991072,0.16566777,0.16566777,0.16566777
0.11502461,0.11502461,0.11502461,0.11502461
0.14696996,0.14696996,0.15927456,0.15927456
0.16684957,0.1506031,0.1506031,0.16684957
0.1296529,0.16334063,0.17975906,0.1296529
0.17975906,0.17673036,0.16684957,0.17673036
0.15064168,0.17903307,0.15064168,0.15064168
0.18248388,0.15064168,0.17903307,0.17903307
0.1534505,0.17439,0.17439,0.1534505
0.18248388,0.17903307,0.1534505,0.17903307
0.17439,0.17439,0.17439,0.17439
0.19259535,0.17439,0.19259535,0.19259535
0.14095463,0.37860686,0.37860686,0.14095463
0.37860686,0.37860686,0.37860686,0.37860686
0.21010524,0.19304672,0.20601818,0.19304672
0.16291709,0.19259535,0.19259535,0.16291709
0.20641811,0.20641811,0.20641811,0.20641811
0.16586496,0.16586496,0.16586496,0.16586496
0.15323503,0.15323503,0.15323503,0.15323503
0.17967603,0.17967603,0.19836262,0.17967603
0.1917871,0.19619043,0.2048564,0.20567563
0.15323503,0.15323503,0.14428107,0.15323503
0.15323503,0.14428107,0.15101834,0.14428107
0.16016124,0.1671874,0.1671874,0.16016124
0.1671874,0.1671874,0.1671874,0.1671874
0.14428107,0.15101834,0.15101834,0.14428107
0.15101834,0.15101834,0.18580946,0.18580946
0.17967603,0.19836262,0.19836262,0.19836262
0.18159924,0.18159924,0.18159924,0.17005523
0.15101834,0.18017583,0.15101834,0.18125542
0.18125542,0.17799082,0.17799082,0.18125542
0.17799082,0.17799082,0.17799082,0.17799082
0.18125542,0.17799082,0.17799082,0.17799082
0.17136335,0.17136335,0.17136335,0.17136335
0.1566058,0.1566058,0.1566058,0.1566058
0.20802937,0.20802937,0.20802937,0.20802937
0.16943996,0.16943996,0.16943996,0.16943996
0.1995145,0.1995145,0.19596514,0.19558829
0.14762186,0.14762186,0.14762186,0.14762186
0.18062189,0.17167921,0.17167921,0.17167921
0.14762186,0.14762186,0.14762186,0.14762186
0.14762186,0.14762186,0.14762186,0.14762186
0.14762186,0.26777443,0.14762186,0.14762186
0.26777443,0.14762186,0.26777443,0.26777443
0.193861,0.1957625,0.1957625,0.1957625
0.2651189,0.2651189,0.2651189,0.2651189
0.19822828,0.17950785,0.15415739,0.15415739
0.15415739,0.15415739,0.15415739,0.15415739
0.18953851,0.18953851,0.18953851,0.18953851
0.18953851,0.18953851,0.18953851,0.18953851
0.18536793,0.18536793,0.18536793,0.18536793
0.18536793,0.18536793,0.18536793,0.18536793
0.18786961,0.18786961,0.18786961,0.18786961
0.19715208,0.19512954,0.19512954,0.19715208
0.20124054,0.1998434,0.1928228,0.1998434
0.21757604,0.21757604,0.21757604,0.21757604
0.21757604,0.21757604,0.21757604,0.21757604
0.1946897,0.20219286,0.20219286,0.20219286
0.2045093,0.2045093,0.20279968,0.2045093
0.2045093,0.2045093,0.20279968,0.2045093
0.20901166,0.22853477,0.21224305,0.23806691
0.20208797,0.20208797,0.1984514,0.1984514
0.19525272,0.19440036,0.18887673,0.18887673
