feature_0,feature_1,feature_2,feature_3,clor_val
0.14624299,0.1304909,0.1304909,0.14180204,0.14624299
0.241455,0.1565661,0.18216614,0.18216614,0.15784839
0.17255025,0.13900247,0.15408535,0.15043396,0.13583545
0.1849051,0.16090569,0.15159997,0.15017647,0.15996164
0.11882957,0.1678014,0.1257116,0.16041541,0.1282251
0.11882957,0.1282251,0.1678014,0.1257116,0.16041541
0.1654511,0.15278083,0.157985,0.16892692,0.16310184
0.13742277,0.1619541,0.15661798,0.1536585,0.1951808
0.17079397,0.1649887,0.1617382,0.17079397,0.16683537
0.16018663,0.1645504,0.16834676,0.16015214,0.15753852
0.17220491,0.17894842,0.18046063,0.16230541,0.17510734
0.1657764,0.16648504,0.15767682,0.20929314,0.19694702
0.1493146,0.15459104,0.12897646,0.16109616,0.12897646
0.16109616,0.15620947,0.13499688,0.15620947,0.09514734
0.16648504,0.15767682,0.15628248,0.19694702,0.20929314
0.2009799,0.1493146,0.15459104,0.15459104,0.13034879
0.16109616,0.15620947,0.15620947,0.17553286,0.13473631
0.15620947,0.13473631,0.15620947,0.31831774,0.17553286
0.15430237,0.16369589,0.16402341,0.16574107,0.1642499
0.15819778,0.16883944,0.15060064,0.15060064,0.15819778
0.16883944,0.15060064,0.10186767,0.15060064,0.14978015
0.16209269,0.1607182,0.18913665,0.23730941,0.22319125
0.16479875,0.22468916,0.17973946,0.19049203,0.27298376
0.19049203,0.19049203,0.18767212,0.1782636,0.23001
0.11029887,0.17585202,0.12075407,0.12240138,0.12240138
0.21335262,0.18159844,0.20181301,0.17791094,0.21335262
0.1830945,0.18852246,0.1795035,0.17942761,0.19614068
0.21335262,0.20181301,0.17053202,0.22153838,0.17791094
0.17826158,0.17791094,0.17826158,0.22486366,0.17053202
0.16329186,0.17902958,0.1807984,0.1807984,0.1676711
0.13830891,0.15067877,0.13949715,0.14335953,0.15067877
0.13830891,0.15067877,0.15067877,0.13949715,0.14335953
0.17053202,0.17826158,0.22485861,0.24533856,0.22486366
0.18867755,0.18490867,0.15579812,0.19702955,0.15539576
0.1509656,0.15067877,0.13970101,0.14335953,0.15067877
0.1509656,0.15594852,0.15067877,0.16437626,0.13970101
0.14958088,0.15594852,0.17504218,0.39172044,0.16671167
0.15594852,0.17504218,0.39172044,0.16437626,0.18218213
0.16607828,0.18083583,0.17627224,0.1614958,0.17686208
0.16981038,0.16981038,0.18624921,0.15739623,0.17677663
0.1874839,0.16573665,0.16610946,0.16945373,0.1631514
0.17686208,0.16742739,0.1614958,0.17359076,0.1614958
0.1614958,0.16742739,0.17359076,0.17359076,0.1614958
0.1631514,0.18410347,0.16610946,0.16945373,0.1874839
0.1631514,0.1874839,0.18410347,0.16610946,0.16945373
0.34573084,0.20621099,0.25553578,0.25553578,0.20621099
0.16658835,0.1857669,0.16760199,0.19910882,0.18817002
0.14265552,0.15866284,0.21209696,0.34573084,0.1497931
0.19336407,0.19150871,0.19002229,0.17142169,0.17142169
0.15866284,0.2543764,0.21209696,0.21209696,0.2543764
0.15866284,0.2543764,0.2543764,0.21209696,0.21209696
0.19469182,0.3670596,0.20883073,0.257845,0.21816625
0.30403,0.23510788,0.18359524,0.19900487,0.23510788
0.16224785,0.15068683,0.21233912,0.16244529,0.21233912
0.1486379,0.16772947,0.10976028,0.17597288,0.10976028
0.21482392,0.22300541,0.20835185,0.2043917,0.24526526
0.14402685,0.17743465,0.16479392,0.19119748,0.121736325
0.17229275,0.16629381,0.18484151,0.19643316,0.2023318
0.15058121,0.25159228,0.18237081,0.11517203,0.18237081
0.21512619,0.22989547,0.19988579,0.21923512,0.22049452
0.15058121,0.15058121,0.18237081,0.2067773,0.18237081
0.18210225,0.18345082,0.18765628,0.18757387,0.19062991
0.18564934,0.20389637,0.2128206,0.31785807,0.3138968
0.19097283,0.22392003,0.20884426,0.20715255,0.22392003
0.18991493,0.17356464,0.19602902,0.25181887,0.22344978
0.17356464,0.22344978,0.19602902,0.20389637,0.25181887
0.19471622,0.31282744,0.19438496,0.21738699,0.31282744
0.31282744,0.31282744,0.19438496,0.22392003,0.21738699
0.15600203,0.15050821,0.13794056,0.17312877,0.14270309
0.15322922,0.18755119,0.20312633,0.22048305,0.13144474
0.22048305,0.25453332,0.17857747,0.2346615,0.17857747
0.17857747,0.25453332,0.2346615,0.2346615,0.17857747
0.16424607,0.18270226,0.16618608,0.16424607,0.19739483
0.19739483,0.16424607,0.18270226,0.16424607,0.16618608
0.15546773,0.17175575,0.21148199,0.21950313,0.17399701
0.18316065,0.2355472,0.18804951,0.26418003,0.26418003
0.18696296,0.18696296,0.21719162,0.22030078,1.1612949
0.21064392,0.15690266,0.20311862,0.15923661,0.21064392
0.23797148,0.23170707,0.19603834,0.22545655,0.26381004
0.19683245,0.22556977,0.22132814,0.21672128,0.21308182
0.19683245,0.21308182,0.22556977,0.22132814,0.21672128
0.2384709,0.20056242,0.20056242,0.21351731,0.21351731
0.21630183,0.21701518,0.22066571,0.21468031,0.21701518
0.1934969,0.24101885,0.19733843,0.27331543,0.23284069
0.19597618,0.19597618,0.20615764,0.21542172,0.21608089
0.14285909,0.1640394,0.15114832,0.1681276,0.14285909
0.21156758,0.2415616,0.24522328,0.38380733,0.25855237
0.17831008,0.1898621,0.18358408,0.1781187,0.1898621
0.17227468,0.14041565,0.16582344,0.17171715,0.12672533
0.24522328,0.3619708,0.29487637,0.38380733,0.3619708
0.19172838,0.17019539,0.27265435,0.15306574,0.25126773
0.17219757,0.21866754,0.21866754,0.3594851,0.3594851
0.16339682,0.18431023,0.16339682,0.16511828,0.18431023
0.20145348,0.15013695,0.21866754,0.21866754,0.18320213
0.15013695,0.18320213,0.21866754,0.3594851,0.21866754
0.22112025,0.2276054,0.18247725,0.16773467,0.18247725
0.18748613,0.20201315,0.18899709,0.23812233,0.17725347
0.22903556,0.22105941,0.22729604,0.19341698,0.24315944
0.21293475,0.19122517,0.19601369,0.18708496,0.19527072
0.17912686,0.17048998,0.21255493,0.19601369,0.23158158
0.178604,0.2107983,0.17048998,0.23158158,0.21255493
0.17958441,0.23589064,0.18150783,0.19920763,0.19331095
0.16446908,0.19331095,0.18150783,0.20292836,0.17958441
0.19331095,0.18150783,0.20292836,0.1965032,0.19920763
0.2194906,0.30666035,0.2490123,0.22075835,0.2044436
0.1887829,0.21037984,0.2109954,0.22869435,0.16957995
0.19110784,0.19511642,0.18256634,0.21476856,0.21360275
0.22597669,0.20855743,0.20305218,0.17630701,0.17089596
0.24319471,0.21550104,0.19511642,0.20572203,0.21236044
0.20101446,0.21865605,0.21537715,0.22787464,0.20927536
0.18202864,0.19925207,0.24091598,0.29325035,0.26105785
0.2315319,0.27406552,0.25206444,0.23797397,0.2317366
0.18700223,0.24719372,0.17035876,0.21277083,0.15142052
0.15142052,0.24719372,0.17035876,0.19925207,0.21277083
0.24793592,0.2315319,0.27406552,0.22865877,0.26742178
0.2317366,0.25206444,0.25613955,0.2543447,0.23797397
0.16068651,0.18818624,0.17630327,0.17630327,0.21825896
0.18999156,0.20004033,0.18700223,0.1977584,0.19818208
0.18700223,0.1977584,0.15142052,0.21277083,0.24719372
0.26742178,0.27406552,0.25206444,0.25613955,0.22865877
0.216826,0.19818208,0.18700223,0.1977584,0.20004033
0.19818208,0.20004033,0.18700223,0.24719372,0.1977584
0.19693038,0.21124777,0.22468817,0.24059403,0.21778421
0.24059403,0.24059403,0.22483288,0.22582024,0.22409645
0.24670888,0.24059403,0.22409645,0.22582024,0.22483288
0.24059403,0.22483288,0.22409645,0.22139066,0.22582024
0.2489767,0.24004486,0.24015008,0.24015008,0.22635838
0.2489767,0.22635838,0.31183365,0.24015008,0.24015008
0.2518905,0.31873816,0.31873816,0.26276565,0.27108157
0.27286538,0.31223938,0.19244947,0.22091614,0.17379087
0.7416936,0.23050536,0.21999124,0.21999124,0.25275466
0.31873816,0.31873816,0.24778308,0.27108157,0.26276565
0.15466823,0.19961496,0.20699549,0.2716003,0.15466823
0.17379087,0.19244947,0.19244947,0.21661815,0.22091614
0.19244947,0.22091614,0.21661815,0.21611366,0.19244947
0.19244947,0.19244947,0.22091614,0.21611366,0.21661815
0.15466823,0.26059166,0.2716003,0.28120697,0.18269984
0.15466823,0.18269984,0.26059166,0.2716003,0.28120697
0.20583981,0.23450288,0.23450288,0.21887673,0.2010697
0.25833404,0.26244026,0.3301736,0.3743412,0.23787215
0.21177953,0.19878267,0.20729403,0.21612006,0.21177953
0.18410923,0.19878267,0.20729403,0.20759505,0.20338234
0.20759505,0.20967133,0.2115997,0.2154547,0.21539621
0.2631742,0.2254046,0.20514135,0.18359955,0.15430017
0.17373964,0.16493385,0.1856127,0.20011468,0.19504692
0.25782084,0.22236905,0.22247015,0.21209663,0.22519562
0.1481051,0.16470766,0.18257631,0.1856127,0.18726295
0.41688836,0.22519562,0.21209663,8.720054,0.22236905
0.22236905,0.41688836,0.22519562,8.720054,0.21209663
0.12085431,0.15542702,0.15426515,0.14856324,0.16626711
0.12085431,0.16626711,0.15542702,0.14856324,0.15426515
0.16626711,0.15426515,0.2577194,0.15150334,0.14856324
0.14553085,0.14429691,0.15004073,0.15004073,0.14553085
0.12462521,0.12462521,0.12462521,0.14553085,0.12462521
0.16299666,0.17543344,0.16299666,0.17543344,0.16299666
0.15029058,0.15029058,0.19682337,0.19682337,0.15029058
0.1926676,0.1926676,0.1926676,0.1926676,0.1926676
0.1926676,0.1926676,0.1926676,0.1926676,0.1926676
0.15534475,0.15534475,0.15534475,0.15534475,0.15534475
0.15991072,0.15991072,0.16566777,0.16566777,0.15991072
0.17406997,0.15991072,0.17406997,0.17406997,0.17406997
0.16566777,0.16566777,0.1994778,0.1994778,0.16566777
0.19712028,0.19712028,0.16871953,0.19260266,0.16871953
0.11502461,0.11502461,0.15798116,0.16047893,0.11502461
0.1509568,0.1509568,0.119744755,0.119744755,0.119744755
0.119744755,0.14696996,0.15927456,0.15927456,0.14696996
0.11502461,0.15798116,0.15798116,0.11502461,0.16047893
0.15828843,0.1509568,0.1509568,0.15828843,0.1509568
0.119744755,0.14696996,0.15927456,0.15927456,0.14696996
0.14696996,0.14696996,0.15927456,0.15927456,0.15927456
0.1296529,0.16334063,0.17975906,0.17975906,0.16334063
0.1534505,0.1534505,0.17439,0.17439,0.17439
0.1534505,0.17439,0.17439,0.17439,0.17439
0.20665018,0.20601818,0.20177421,0.20177421,0.20177421
0.19302218,0.19267996,0.1984929,0.1984929,0.19452187
0.1984929,0.1912133,0.1912133,0.1912133,0.19388214
0.19259535,0.19259535,0.19259535,0.19259535,0.19259535
0.20013234,0.20791657,0.20791657,0.20783149,0.20013234
0.20505741,0.20641811,0.20641811,0.20641811,0.20641811
0.20013234,0.20791657,0.20783149,0.20791657,0.20783149
0.20783149,0.20783149,0.20783149,0.2011127,0.20783149
0.14192946,0.14192946,0.16586496,0.16586496,0.16586496
0.2317485,0.2317485,0.2317485,0.2317485,0.2317485
0.2317485,0.2317485,0.2317485,0.2317485,0.2317485
0.20783149,0.20783149,0.21809745,0.2011127,0.2011127
0.19619043,0.19670235,0.19670235,0.19670235,0.19670235
0.17967603,0.2317485,0.19836262,0.2317485,0.2317485
0.17967603,0.19836262,0.2317485,0.19836262,0.19836262
0.17967603,0.19836262,0.19836262,0.19836262,0.17967603
0.19836262,0.19836262,0.19836262,0.19836262,0.19836262
0.1671874,0.1671874,0.1671874,0.15620458,0.1671874
0.15101834,0.15101834,0.15101834,0.18580946,0.18580946
0.17972447,0.16016124,0.17972447,0.17972447,0.17972447
0.1671874,0.15620458,0.16856487,0.16856487,0.15620458
0.15620458,0.15620458,0.16856487,0.16856487,0.16856487
0.17972447,0.17972447,0.17972447,0.17972447,0.17972447
0.17972447,0.17972447,0.17972447,0.17972447,0.17972447
0.18125542,0.17799082,0.17799082,0.17799082,0.17799082
0.20489958,0.20489958,0.20330276,0.20870146,0.20489958
0.20364334,0.20364334,0.24774009,0.18125542,0.18125542
0.16639563,0.1703367,0.1703367,0.17246304,0.16639563
0.20364334,0.20364334,0.24774009,0.24774009,0.20364334
0.20364334,0.20364334,0.20364334,0.24774009,0.24774009
0.16896255,0.16896255,0.16271669,0.1682545,0.16271669
0.20527667,0.20985287,0.20985287,0.20985287,0.20985287
0.21789908,0.21789908,0.13178487,0.1566058,0.13178487
0.20849217,0.20849217,0.21578252,0.21552308,0.20849217
0.20802937,0.20802937,0.2083189,0.21130064,0.20802937
0.20501187,0.20411655,0.20411655,0.20411655,0.20411655
0.21789908,0.13178487,0.13178487,0.13178487,0.13178487
0.17693114,0.20079796,0.20079796,0.20079796,0.20079796
0.1566058,0.16943996,0.16943996,0.1566058,0.16943996
0.17693114,0.18121883,0.20079796,0.18490733,0.20079796
0.18062189,0.18062189,0.18062189,0.17167921,0.17167921
0.21279785,0.21279785,0.21322508,0.21322508,0.21322508
0.18268125,0.18268125,0.18268125,0.18761297,0.18268125
0.20791708,0.20791708,0.21279785,0.2089177,0.21069081
0.20791708,0.21069081,0.21279785,0.21279785,0.2089177
0.18981053,0.18334629,0.18334629,0.18025933,0.18025933
0.18334629,0.18025933,0.18334629,0.18268125,0.18025933
0.19558829,0.1939729,0.18968587,0.18968587,0.1939729
0.21069081,0.20985535,0.20985535,0.2148583,0.21069081
0.2148583,0.21805012,0.21247455,0.21247455,0.2089177
0.2089177,0.21805012,0.21247455,0.20901574,0.21247455
0.26777443,0.26777443,0.26777443,0.26777443,0.26777443
0.26777443,0.26777443,0.26777443,0.26777443,0.26777443
0.1891689,0.1891689,0.1891689,0.18219145,0.18219145
0.18843156,0.18843156,0.18843156,0.18843156,0.18843156
0.20887075,0.20125736,0.21176814,0.21176814,0.20504886
0.23081966,0.20125736,0.21956077,0.21956077,0.23081966
0.1900014,0.1900014,0.1900014,0.1900014,0.1900014
0.17009552,0.17009552,0.17009552,0.17009552,0.17009552
0.17009552,0.17009552,0.17009552,0.17009552,0.17009552
0.18786961,0.18786961,0.18786961,0.18786961,0.18786961
0.23049271,0.23049271,0.23049271,0.23049271,0.23049271
0.20124054,0.18863857,0.1998434,0.1998434,0.1928228
0.20937942,0.20937942,0.20937942,0.20937942,0.20937942
0.19434161,0.1905831,0.1905831,0.1905831,0.19434161
0.19361575,0.19361575,0.19834773,0.20161648,0.20161648
0.24067335,0.24067335,0.24067335,0.22165106,0.22165106
0.20279968,0.20112523,0.19379365,0.19379365,0.20112523
0.19834773,0.19834773,0.19834773,0.20161648,0.19629611
0.21359369,0.20300534,0.20300534,0.21359369,0.21428558
0.19125913,0.18966086,0.18966086,0.20003513,0.20003513
0.2045093,0.2045093,0.2045093,0.20279968,0.20279968
0.18076135,0.19610436,0.18966086,0.18966086,0.19610436
0.19610436,0.19610436,0.18966086,0.20003513,0.18966086
0.19023125,0.19023125,0.19956121,0.19658133,0.19956121
0.1984514,0.20097937,0.20901166,0.20490853,0.20901166
0.19525272,0.19440036,0.19440036,0.18887673,0.18887673
0.20085385,0.20085385,0.18930754,0.20085385,0.19440036
0.187457,0.18930754,0.18930754,0.18930754,0.18930754
0.187457,0.187457,0.18930754,0.18930754,0.18930754
0.1942916,0.18639666,0.19182774,0.19182774,0.18639666
0.1942916,0.18639666,0.19182774,0.19182774,0.1942916
0.18639666,0.19182774,0.19182774,0.19182774,0.19182774
0.19262014,0.19262014,0.190555,0.190555,0.190555
0.1942916,0.19182774,0.19182774,0.1962287,0.1942916
