feature_0,feature_1,feature_2,feature_3,feature_4,clor_val
0.14624299,0.14624299,0.1304909,0.14180204,0.13648798,0.1304909
0.1304909,0.14180204,0.15229248,0.17255025,0.15408535,0.13648798
0.241455,0.241455,0.15784839,0.18216614,0.15388313,0.18216614
0.15996164,0.15159997,0.15093625,0.15369861,0.15369861,0.15017647
0.17951539,0.17780724,0.20372887,0.13900247,0.15043396,0.17780724
0.15017647,0.15369861,0.17639044,0.17780724,0.20372887,0.15369861
0.15369861,0.15369861,0.17639044,0.17780724,0.17780724,0.20372887
0.2160217,0.1483329,0.15249923,0.15493609,0.16098705,0.1687384
0.2160217,0.1687384,0.1483329,0.15249923,0.16098705,0.15493609
0.17485169,0.171582,0.17176531,0.16454321,0.17123878,0.16773382
0.16773382,0.17176531,0.17123878,0.16685978,0.17311795,0.16454321
0.16454321,0.17123878,0.17311795,0.1698588,0.16473551,0.16685978
0.16685978,0.17311795,0.17170599,0.1698588,0.16639376,0.16473551
0.17176531,0.17460787,0.17123878,0.17311795,0.17170599,0.17485173
0.17123878,0.17485173,0.17311795,0.16473551,0.16639376,0.17170599
0.13742277,0.1649887,0.1951808,0.15661798,0.16018663,0.1619541
0.17884795,0.18379623,0.1744636,0.18343545,0.18379623,0.17657319
0.17117925,0.17285404,0.17285404,0.17831336,0.17824191,0.1771066
0.16683537,0.16719423,0.1617382,0.17079397,0.16703121,0.17079397
0.17703211,0.18189068,0.17894842,0.17510734,0.18046063,0.17220491
0.16015214,0.16015214,0.15909287,0.15909287,0.24241382,0.17735974
0.16015214,0.15909287,0.17120583,0.17735974,0.16757664,0.15909287
0.16757664,0.16703969,0.16533346,0.16334529,0.15083283,0.15846533
0.16982204,0.1657764,0.15767682,0.19694702,0.20929314,0.16648504
0.15139945,0.13034879,0.15459104,0.12897646,0.12897646,0.1493146
0.13574451,0.13007663,0.15392488,0.16982204,0.16411029,0.15946406
0.16533346,0.16727361,0.1750257,0.16334529,0.17209871,0.16727361
0.16727361,0.1750257,0.18037704,0.16727361,0.17209871,0.17209871
0.14539124,0.2343912,0.17014235,0.2009799,0.2009799,0.17014235
0.15459104,0.13116866,0.17118771,0.15713543,0.218866,0.18595557
0.19771796,0.21964559,0.22826913,0.23235275,0.19194704,0.19194704
0.19664836,0.19631748,0.18720432,0.18494736,0.1853052,0.1677783
0.1750257,0.18037704,0.18037704,0.17209871,0.17640498,0.17209871
0.1642499,0.16654524,0.16402341,0.16574107,0.17374307,0.16369589
0.14539124,0.2343912,0.17014235,0.2009799,0.12907463,0.17014235
0.13116866,0.17118771,0.2967706,0.18595557,0.121720605,0.218866
0.121720605,0.12017225,0.15229745,0.12394151,0.12861751,0.12394151
0.12394151,0.12394151,0.15001908,0.16823857,0.22842026,0.12861751
0.17365058,0.15819778,0.15819778,0.15060064,0.14978015,0.16883944
0.15819778,0.16883944,0.15819778,0.14978015,0.15060064,0.15060064
0.15229745,0.14723279,0.16132428,0.15001908,0.16648975,0.15698434
0.2052251,0.21703576,0.18923143,0.21703576,0.20537902,0.19492568
0.21703576,0.19492568,0.18923143,0.21703576,0.1607182,0.20537902
0.15558974,0.21335262,0.17964286,0.18159844,0.18159844,0.17768344
0.14723279,0.16132428,0.16842455,0.15698434,0.16662928,0.16648975
0.12377689,0.1263095,0.1263095,0.13373221,0.1357055,0.13039282
0.17768344,0.21335262,0.18159844,0.18159844,0.20181301,0.21335262
0.13039282,0.1263095,0.13953146,0.13373221,0.13574572,0.1357055
0.18159844,0.20181301,0.17791094,0.17654982,0.22468916,0.22153838
0.1782636,0.18075511,0.17352954,0.16247961,0.16247961,0.18375544
0.16662928,0.17804138,0.180137,0.17371894,0.16543813,0.17687923
0.11029887,0.17585202,0.17585202,0.12240138,0.14716598,0.12240138
0.13772,0.1263095,0.1263095,0.13953146,0.13830891,0.1388897
0.1263095,0.13953146,0.13830891,0.1357055,0.13949715,0.13574572
0.13953146,0.13830891,0.15067877,0.13574572,0.14335953,0.13949715
