feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,clor_val
0.18216614,0.14624299,0.15232547,0.1304909,0.14180204,0.15229248,0.14624299
0.15784839,0.18216614,0.15388313,0.14624299,0.15232547,0.15585212,0.18216614
0.14180204,0.15229248,0.15585212,0.13648798,0.15408535,0.13583545,0.17255025
0.18216614,0.18216614,0.15159997,0.15232547,0.15585212,0.15093625,0.15388313
0.15996164,0.15388313,0.15017647,0.15585212,0.15093625,0.15369861,0.15159997
0.15585212,0.17951539,0.17780724,0.17780724,0.13583545,0.15043396,0.13900247
0.16310184,0.1654511,0.15278083,0.16892692,0.17485169,0.171582,0.157985
0.15278083,0.157985,0.16892692,0.171582,0.16773382,0.17176531,0.17485169
0.1744636,0.16310184,0.17425776,0.157985,0.16892692,0.17058308,0.1654511
0.17884795,0.17657319,0.18343545,0.1654511,0.17425776,0.17691414,0.1744636
0.171582,0.17794052,0.17831336,0.17176531,0.17123878,0.17485173,0.17460787
0.13742277,0.1619541,0.1649887,0.1951808,0.16018663,0.1536585,0.15661798
0.17058308,0.17117925,0.17285404,0.17794052,0.1771066,0.17460787,0.17831336
0.16683537,0.1619541,0.1617382,0.15661798,0.16018663,0.1645504,0.1649887
0.18780784,0.17657319,0.19362542,0.18343545,0.18379623,0.14779009,0.18379623
0.19550124,0.17793311,0.17966522,0.18379623,0.19362542,0.19058736,0.18780784
0.17285404,0.17285404,0.1833759,0.1771066,0.186586,0.17703211,0.17824191
0.1645504,0.16834676,0.16703121,0.15753852,0.16015214,0.17735974,0.16015214
0.17824191,0.186586,0.186586,0.18189068,0.17220491,0.17894842,0.17703211
0.16755466,0.17079397,0.17012617,0.17079397,0.16703121,0.16904703,0.16719423
0.17510734,0.18046063,0.17704028,0.16731521,0.16755466,0.1710722,0.16230541
0.16230541,0.16731521,0.1710722,0.16719423,0.17012617,0.17012617,0.16755466
0.15909287,0.17120583,0.17779231,0.15909287,0.16703969,0.15846533,0.16757664
0.16703969,0.16533346,0.16727361,0.15846533,0.16727361,0.15083283,0.16334529
0.15946406,0.15392488,0.16411029,0.16648504,0.15767682,0.15628248,0.16982204
0.16982204,0.16411029,0.16648504,0.15628248,0.19694702,0.20929314,0.15767682
0.1493146,0.15459104,0.15459104,0.12897646,0.15713543,0.16109616,0.12897646
0.12897646,0.12897646,0.15713543,0.09514734,0.15620947,0.13473631,0.16109616
0.16109616,0.09514734,0.13473631,0.13499688,0.15620947,0.17553286,0.15620947
0.09514734,0.15620947,0.13473631,0.13499688,0.17553286,0.31831774,0.15620947
0.15646714,0.13574451,0.12820664,0.15946406,0.15392488,0.17265452,0.13007663
0.17014235,0.13034879,0.2009799,0.15459104,0.15459104,0.13116866,0.2009799
0.15459104,0.15459104,0.13116866,0.12897646,0.18595557,0.16109616,0.15713543
0.19438887,0.19771796,0.21964559,0.21730648,0.19194704,0.21730648,0.23235275
0.21730648,0.21754621,0.1677783,0.18469745,0.18720432,0.18494736,0.19664836
0.16402341,0.16574107,0.20412798,0.16684096,0.15646714,0.16605186,0.16297296
0.15628248,0.13508336,0.2343912,0.2343912,0.17014235,0.17014235,0.14539124
0.17014235,0.17014235,0.2009799,0.15459104,0.13116866,0.17118771,0.2009799
0.13508336,0.2343912,0.15083627,0.14539124,0.17014235,0.17014235,0.2343912
0.21964559,0.22826913,0.22826913,0.19194704,0.22360946,0.15960097,0.19194704
0.15960097,0.1677783,0.20115308,0.18494736,0.1853052,0.1853052,0.19631748
0.18037704,0.18037704,0.17969413,0.17209871,0.17973329,0.17932138,0.17640498
0.17267744,0.16369589,0.17000552,0.16574107,0.17374307,0.17571807,0.16654524
0.17014235,0.12687391,0.13816576,0.17118771,0.2967706,0.13816576,0.12907463
0.17118771,0.2967706,0.13816576,0.218866,0.12017225,0.12394151,0.121720605
0.22826913,0.22826913,0.19194704,0.17114872,0.15960097,0.2437386,0.22360946
0.17640498,0.17973329,0.17162068,0.18919194,0.17267744,0.17772645,0.17932138
0.17932138,0.18919194,0.17772645,0.16654524,0.17000552,0.17881903,0.17267744
0.15083627,0.15083627,0.15549836,0.15346481,0.12687391,0.15346481,0.12687391
0.12687391,0.15346481,0.15346481,0.12907463,0.13816576,0.15572217,0.12687391
0.12017225,0.15229745,0.15229745,0.12394151,0.15001908,0.12861751,0.12394151
0.15229745,0.15229745,0.14723279,0.12394151,0.15698434,0.12861751,0.15001908
0.20792122,0.21703576,0.20537902,0.16209269,0.18913665,0.22319125,0.1607182
0.23730941,0.15662804,0.17768344,0.18425539,0.17964286,0.18159844,0.15558974
0.17964286,0.17654982,0.22153838,0.16479875,0.17973946,0.27298376,0.22468916
0.19049203,0.23001,0.18767212,0.18940344,0.18075511,0.18375544,0.1782636
0.16132428,0.16842455,0.17385504,0.16648975,0.17804138,0.17687923,0.16662928
0.16620491,0.16245231,0.17585202,0.12075407,0.12240138,0.12240138,0.11029887
0.13772,0.12377689,0.1388897,0.13039282,0.1263095,0.13953146,0.1263095
0.21335262,0.21335262,0.18159844,0.17791094,0.17654982,0.22153838,0.20181301
0.16543813,0.16620491,0.20618401,0.11029887,0.17585202,0.17585202,0.16245231
0.18375544,0.16247961,0.16166475,0.1750887,0.18115774,0.18650329,0.16247961
0.17585202,0.17585202,0.124351196,0.12240138,0.124351196,0.16329186,0.14716598
0.1388897,0.13953146,0.15067877,0.13574572,0.13949715,0.14335953,0.13830891
0.15744479,0.15744479,0.20944855,0.22238567,0.1830945,0.17949171,0.20102197
0.20102197,0.22238567,0.17949171,0.19614068,0.18852246,0.20611079,0.1830945
0.19614068,0.18852246,0.20611079,0.1795035,0.19704252,0.17562634,0.17942761
0.15579812,0.16247961,0.13570915,0.18115774,0.18650329,0.18028566,0.16166475
0.14716598,0.124351196,0.16916703,0.17902958,0.1676711,0.1807984,0.16329186
0.17942761,0.19704252,0.19770332,0.1847511,0.17826158,0.22485861,0.17562634
0.17562634,0.1847511,0.22485861,0.17053202,0.17826158,0.22485861,0.17826158
0.17826158,0.22485861,0.17053202,0.22485861,0.22486366,0.24533856,0.17826158
0.15539576,0.18490867,0.19702955,0.16166475,0.13570915,0.19702955,0.15579812
0.16329186,0.17902958,0.18117051,0.1676711,0.2729127,0.1807984,0.1807984
0.14958088,0.14958088,0.15594852,0.15067877,0.13970101,0.16437626,0.1509656
0.19067429,0.18318634,0.18272156,0.18867755,0.19132148,0.17844409,0.19132148
0.23797247,0.26885623,0.26885623,0.23309168,0.24216555,0.19582218,0.23309168
0.19582218,0.19067429,0.17711987,0.19132148,0.18272156,0.18355805,0.18318634
0.17050587,0.16718644,0.17053224,0.17319985,0.17725265,0.17564574,0.17266628
0.14958088,0.16671167,0.15594852,0.39172044,0.16437626,0.18218213,0.17504218
0.17053224,0.17062192,0.18346882,0.17725265,0.18346882,0.45262158,0.17725265
0.13752857,0.16573665,0.16610946,0.16607828,0.17627224,0.17686208,0.18083583
0.18226972,0.17075153,0.17394106,0.16981038,0.16981038,0.18624921,0.17394106
0.1843432,0.1843432,0.18492034,0.20497787,0.20497787,0.23128904,0.20552477
0.20497787,0.20552477,0.20497787,0.18204942,0.1888606,0.1888606,0.23128904
0.17062192,0.18346882,0.18697779,0.17725265,0.18697779,0.45262158,0.18346882
0.17359076,0.17394106,0.17246771,0.16981038,0.18624921,0.4425438,0.17394106
0.17394106,0.17394106,0.17246771,0.16981038,0.4425438,0.17677663,0.18624921
0.18346882,0.18697779,0.2007903,0.18346882,0.19727442,0.45262158,0.18697779
0.1624438,0.1614958,0.16742739,0.1614958,0.17359076,0.20547763,0.16742739
0.1614958,0.17359076,0.20547763,0.20547763,0.17394106,0.17246771,0.17359076
0.18970798,0.18881775,0.21339251,0.19573751,0.17269863,0.18650903,0.19573751
0.19573751,0.19573751,0.17269863,0.19173646,0.1682781,0.16760199,0.18650903
0.17359076,0.20547763,0.20232119,0.17359076,0.1870928,0.17246771,0.20547763
0.17185268,0.17496493,0.2101399,0.19001071,0.16728775,0.19716325,0.1378303
0.1378303,0.19001071,0.19716325,0.18922141,0.18391225,0.18794952,0.16728775
0.18881775,0.19587503,0.19587503,0.18881775,0.1961569,0.19573751,0.21339251
0.13562097,0.13562097,0.18410347,0.19943605,0.17537537,0.18251354,0.18410347
0.18410347,0.18410347,0.19943605,0.18251354,0.16927093,0.16927093,0.17537537
0.17537537,0.18251354,0.16927093,0.1624438,0.1624438,0.18286501,0.16927093
0.20547763,0.20232119,0.4507179,0.20547763,0.24392785,0.14265552,0.1870928
0.19587503,0.19587503,0.20290843,0.21339251,0.18682258,0.16658835,0.1961569
0.16760199,0.19910882,0.22004993,0.18618709,0.1495867,0.14216441,0.25996822
0.18826173,0.18726331,0.19703759,0.2027088,0.19150871,0.17142169,0.19336407
0.1624438,0.18286501,0.2487148,0.1790543,0.20232119,0.4507179,0.19114617
0.25996822,0.1495867,0.13927054,0.17172728,0.17829698,0.18722346,0.14216441
0.24392785,0.14265552,0.2543764,0.1497931,0.21209696,0.21209696,0.15866284
0.16658835,0.17895997,0.18228604,0.1857669,0.1956474,0.17759009,0.1849152
0.1583877,0.14216441,0.15928015,0.17829698,0.18722346,0.19279322,0.13927054
0.19150871,0.19002229,0.18460844,0.17142169,0.18460844,0.18261229,0.17142169
0.18261229,0.13899377,0.18527699,0.17397858,0.19013864,0.19469182,0.1549379
0.1849152,0.1956474,0.16763474,0.16763474,0.1583877,0.1644504,0.17759009
0.17759009,0.16763474,0.1644504,0.13927054,0.15928015,0.17216174,0.1583877
0.19013864,0.19469182,0.3670596,0.19237775,0.21816625,0.20029558,0.20883073
0.18261229,0.16747281,0.20492518,0.18527699,0.19469182,0.3670596,0.16747281
0.18527699,0.16747281,0.19469182,0.20883073,0.21816625,0.257845,0.3670596
0.19556983,0.17641845,0.21187137,0.18128438,0.18270822,0.21871023,0.18564375
0.18128438,0.18564375,0.18270822,0.19289212,0.20805655,0.20805655,0.21871023
0.20492518,0.20644447,0.20358638,0.19317651,0.17058684,0.17058684,0.16929509
0.16929509,0.19317651,0.17058684,0.257845,0.17442855,0.18445013,0.17058684
0.17058684,0.17058684,0.257845,0.18445013,0.14141342,0.18084006,0.17442855
0.257845,0.17442855,0.18445013,0.18084006,0.21311533,0.21311533,0.14141342
0.14141342,0.18084006,0.18084006,0.21311533,0.20196679,0.14430965,0.21311533
0.18359524,0.19900487,0.18186846,0.16730125,0.17418845,0.17907391,0.16242938
0.17374128,0.18232706,0.15068683,0.15068683,0.21233912,0.21233912,0.16224785
0.21233912,0.21233912,0.18484151,0.18484151,0.19343132,0.20943688,0.16244529
0.10976028,0.16772947,0.17597288,0.17907391,0.19038793,0.19057344,0.10976028
0.16479392,0.19119748,0.17017956,0.10976028,0.16772947,0.17917213,0.1486379
0.19481453,0.19563216,0.18882702,0.21457823,0.17259847,0.15933818,0.19275945
0.16629381,0.2023318,0.18484151,0.18484151,0.21512619,0.22989547,0.19643316
0.19563216,0.18882702,0.20756868,0.19275945,0.21053937,0.15058121,0.17259847
0.2027059,0.19166133,0.20885465,0.17356019,0.20021853,0.23048319,0.20028333
0.17356019,0.20028333,0.20021853,0.1939569,0.19940406,0.19940406,0.23048319
0.17926048,0.18639511,0.18183847,0.17926048,0.18345082,0.19062991,0.18210225
0.23048319,0.19940406,0.23883224,0.19523495,0.18696871,0.17585109,0.19940406
0.19940406,0.23883224,0.18696871,0.17830049,0.17585109,0.16292407,0.17585109
0.19642755,0.20884426,0.22392003,0.17292693,0.19434644,0.20872116,0.20715255
0.17292693,0.20715255,0.19434644,0.18328074,0.1865295,0.2001793,0.20872116
0.17932773,0.19602902,0.25181887,0.18564934,0.2128206,0.3138968,0.20389637
0.17585109,0.17585109,0.1364143,0.1730688,0.15536629,0.13074946,0.16292407
0.14987087,0.19438496,0.21738699,0.19097283,0.20884426,0.22392003,0.22392003
0.16708592,0.19138567,0.19367343,0.18765628,0.18757387,0.1789287,0.19275877
0.13794056,0.16292407,0.16070917,0.15536629,0.13074946,0.15516104,0.1364143
0.15920782,0.14468214,0.17459495,0.17181306,0.16451012,0.19471622,0.16510314
0.19196506,0.19402206,0.19149305,0.19138567,0.19149305,0.19275877,0.19367343
0.14468214,0.17459495,0.18848194,0.16510314,0.18017001,0.15546773,0.16451012
0.16094764,0.19313157,0.14660344,0.19313157,0.19623677,0.1884663,0.16309275
0.21310493,0.15081316,0.16961902,0.21364915,0.15322922,0.18755119,0.15081316
0.22438014,0.16309275,0.14660344,0.19623677,0.1884663,0.19698103,0.14660344
0.18587297,0.15050821,0.18587297,0.17312877,0.18054035,0.17930326,0.17751728
0.2346615,0.21401985,0.21515808,0.16959299,0.16323113,0.17830792,0.15525864
0.16323113,0.17830792,0.18269463,0.17751728,0.18587297,0.18321872,0.18587297
0.17175575,0.21148199,0.25460827,0.17399701,0.20316568,0.20316568,0.21950313
0.21950313,0.20316568,0.2239714,0.18514067,0.20006493,0.1964008,0.20316568
0.20316568,0.18514067,0.1964008,0.18761314,0.19339296,0.19339296,0.20006493
0.20006493,0.1964008,0.18761314,0.19339296,0.18078111,0.20569262,0.19339296
0.21011937,0.21011937,0.19242197,0.22438014,0.13142222,0.4578723,0.19922642
0.22438014,0.19922642,0.13142222,0.21014364,0.14794032,0.1506361,0.4578723
0.19908729,0.1990191,0.18316065,0.20107274,0.26418003,0.21824387,0.20497502
0.19038613,0.20770925,0.4288193,0.18658891,0.2126286,0.2072676,0.23482813
0.2551751,0.23630874,0.20644015,0.23319007,0.21359727,0.21515808,0.2143969
0.21515808,0.16959299,0.1694167,0.17830792,0.1794069,0.16401733,0.16363811
0.19242197,0.19293827,0.17459086,0.19590041,0.19965145,0.20905206,0.19965145
0.19965145,0.19590041,0.20905206,0.1506361,0.1811682,0.19847243,0.19965145
0.20644015,0.20413138,0.2066571,0.21359727,0.21850926,0.1663055,0.21235555
0.1811682,0.23199105,0.23199105,0.2355472,0.20004356,0.26418003,0.18804951
0.18984675,0.1651141,0.18984675,0.19510227,0.17973521,0.5343154,0.18921447
0.2250887,0.15570523,0.12484328,0.17510495,0.16688955,0.16899721,0.15570523
0.1651141,0.17617045,0.18921447,0.17843184,0.5343154,0.15690266,0.19510227
0.22030078,0.22030078,0.18620679,0.16844946,0.17656793,0.16964966,0.1856847
0.21850926,0.20256251,0.21008699,0.1663055,0.18772373,0.16555972,0.18772373
0.16555972,0.15570523,0.15347277,0.16688955,0.16899721,0.15347277,0.12484328
0.1651141,0.17617045,0.19510227,0.21064392,0.15690266,0.15690266,0.17843184
0.16555972,0.1859174,0.12484328,0.16679661,0.16899721,0.15347277,0.15347277
0.17617045,0.17843184,0.21064392,0.15690266,0.15690266,0.20311862,0.21064392
0.15347277,0.19471574,0.14825636,0.16774476,0.14105669,0.16667354,0.15407388
0.13023627,0.13158545,0.16331604,0.15675543,0.1624771,0.17276356,0.12210495
0.17736074,0.15407388,0.18152376,0.14105669,0.16667354,0.1670507,0.14825636
0.21064392,0.15880568,0.20311862,0.15408152,0.12534426,0.15408152,0.15923661
0.20311862,0.15923661,0.15408152,0.15408152,0.19809628,0.1784014,0.12534426
0.19809628,0.1784014,0.16067351,0.12210495,0.16331604,0.16863309,0.13023627
0.1453249,0.19849062,0.16930094,0.18258151,0.17736074,0.16421321,0.17499222
0.18720609,0.19603834,0.18349105,0.23170707,0.23942709,0.26381004,0.19603834
0.18152376,0.19555071,0.19555071,0.1670507,0.1688638,0.19431253,0.1592776
0.1670507,0.1592776,0.1688638,0.18723947,0.195507,0.195507,0.19431253
0.19603834,0.18349105,0.21689802,0.19603834,0.20380399,0.2384709,0.23942709
0.19431253,0.195507,0.2132226,0.1993077,0.1704795,0.17718622,0.195507
0.23942709,0.20380399,0.18237537,0.20056242,0.21351731,0.21351731,0.2384709
0.2602093,0.14795697,0.17975996,0.18129936,0.21758083,0.18222217,0.2384811
0.2132226,0.19144228,0.17718622,0.18716624,0.18110429,0.19205862,0.19144228
0.14795697,0.17975996,0.19591375,0.2384811,0.21758083,0.16204032,0.21758083
0.19144228,0.18110429,0.15278403,0.18110429,0.15561654,0.15219437,0.19205862
0.19827977,0.19585602,0.21630183,0.2046689,0.22066571,0.20056242,0.2046689
0.21758083,0.1934969,0.24101885,0.16204032,0.23284069,0.27331543,0.19733843
0.2114773,0.2114773,0.20072703,0.1934969,0.19733843,0.23284069,0.24101885
0.22038521,0.21901616,0.19597618,0.21825905,0.21542172,0.21701518,0.21825905
0.17901224,0.16567291,0.19332635,0.17362107,0.17362107,0.07221496,0.2510914
0.17139752,0.17139752,0.21143472,0.2114773,0.21143472,0.24101885,0.20072703
0.2510914,0.12973738,0.17726453,0.1879138,0.17151639,0.13704757,0.07221496
0.14285909,0.1640394,0.15114832,0.18087734,0.16834195,0.18345359,0.1640394
0.21143472,0.19607754,0.21643497,0.21143472,0.2447999,0.2221107,0.16079459
0.20615764,0.20656565,0.21386188,0.21174872,0.21638273,0.21354847,0.21463318
0.12672533,0.13173626,0.16582344,0.18219858,0.17875034,0.17474718,0.14041565
0.177197,0.1694407,0.15306574,0.17831008,0.18358408,0.1898621,0.1898621
0.19152959,0.2261914,0.3594851,0.20518786,0.18867466,0.21247306,0.22193284
0.20518786,0.22193284,0.18867466,0.21288861,0.19691536,0.19691536,0.21247306
0.18867466,0.21247306,0.21288861,0.19691536,0.21031056,0.28365052,0.19691536
0.21288861,0.19691536,0.19691536,0.21031056,0.20979919,0.2127261,0.28365052
0.21031056,0.28365052,0.20979919,0.20516978,0.20383921,0.18600251,0.2127261
0.20847604,0.20172755,0.18568167,0.2095193,0.21265149,0.24023473,0.21010229
0.17440696,0.19172838,0.17019539,0.1694407,0.25126773,0.1898621,0.15306574
0.15723123,0.15723123,0.15760729,0.1655799,0.18188262,0.18344548,0.15760729
0.16339682,0.12672533,0.16511828,0.16582344,0.17171715,0.19649364,0.17227468
0.17957571,0.17219757,0.21866754,0.2261914,0.3594851,0.22193284,0.3594851
0.17171715,0.19649364,0.1846392,0.1704933,0.15013695,0.18320213,0.20145348
0.15061848,0.15271498,0.17614728,0.18537408,0.1754949,0.18431027,0.16267256
0.26221985,0.22911637,0.2210214,0.2276054,0.18247725,0.18247725,0.22112025
0.15814655,0.15814655,0.19051632,0.16267256,0.17614728,0.16533823,0.15061848
0.18899709,0.15814655,0.17940478,0.19051632,0.19162942,0.18566506,0.18978865
0.1968109,0.22192273,0.24895883,0.22105941,0.19341698,0.24315944,0.22903556
0.2226489,0.21293475,0.19122517,0.2226489,0.19527072,0.22729604,0.18708496
0.16971149,0.17912686,0.17048998,0.19122517,0.23158158,0.19527072,0.19601369
0.1863872,0.17401928,0.2206679,0.19075324,0.1983342,0.2027268,0.20560546
0.19075324,0.20560546,0.1983342,0.19729613,0.2219605,0.20076814,0.2027268
0.19459277,0.19775157,0.20917954,0.178604,0.17048998,0.21255493,0.2107983
0.18232371,0.2206679,0.21379429,0.17401928,0.17495601,0.20560546,0.2206679
0.2206679,0.21379429,0.18365718,0.2206679,0.22184709,0.22868255,0.17495601
0.21379429,0.18365718,0.18899727,0.17495601,0.21439351,0.22868255,0.22184709
0.18365718,0.18899727,0.2194906,0.22184709,0.2490123,0.22868255,0.21439351
0.17958441,0.16446908,0.19331095,0.20292836,0.19920763,0.1965032,0.18150783
0.18150783,0.20292836,0.21037984,0.19920763,0.2138281,0.21032104,0.1965032
0.17857143,0.19050215,0.22075835,0.1808207,0.20035222,0.19977932,0.20132512
0.16957995,0.1902527,0.2109954,0.25003868,0.21435994,0.22869435,0.22869435
0.23081839,0.23443942,0.21550104,0.19511642,0.19110784,0.19511642,0.22336267
0.22336267,0.19511642,0.19511642,0.18256634,0.21360275,0.21476856,0.19110784
0.22945304,0.22967522,0.22967522,0.20855743,0.17089596,0.20305218,0.22597669
0.19110784,0.19511642,0.20080017,0.21360275,0.19268617,0.1738938,0.21476856
0.22597669,0.20855743,0.20101446,0.17089596,0.22787464,0.17630701,0.20305218
0.19511642,0.20572203,0.19511642,0.21476856,0.19268617,0.20310351,0.20080017
0.19511642,0.20080017,0.21476856,0.20310351,0.1738938,0.1615309,0.19268617
0.17350973,0.17123805,0.17493966,0.17128853,0.18932407,0.16068651,0.16774523
0.20310351,0.15142052,0.1615309,0.21277083,0.18202864,0.19925207,0.17035876
0.1615309,0.17035876,0.21277083,0.18202864,0.24091598,0.26105785,0.19925207
