feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,clor_val
0.18216614,0.15388313,0.15159997,0.15232547,0.15093625,0.15229248,0.15585212,0.17951539,0.15585212
0.15388313,0.15159997,0.15017647,0.15585212,0.15369861,0.15585212,0.17951539,0.17780724,0.15093625
0.16310184,0.1654511,0.17425776,0.157985,0.17058308,0.17485169,0.171582,0.17794052,0.16892692
0.157985,0.16892692,0.17058308,0.17485169,0.17794052,0.16773382,0.17176531,0.17460787,0.171582
0.17485169,0.171582,0.17794052,0.16773382,0.17460787,0.16454321,0.17123878,0.17485173,0.17176531
0.16773382,0.17176531,0.17460787,0.16454321,0.17485173,0.16685978,0.17311795,0.17170599,0.17123878
0.16454321,0.17123878,0.17485173,0.16685978,0.17170599,0.1698588,0.16473551,0.16639376,0.17311795
0.1654511,0.17425776,0.17691414,0.16892692,0.17117925,0.171582,0.17794052,0.17831336,0.17058308
0.17884795,0.17657319,0.18379623,0.1744636,0.18379623,0.17425776,0.17691414,0.17186055,0.18343545
0.1744636,0.18343545,0.18379623,0.17425776,0.17186055,0.17058308,0.17117925,0.17285404,0.17691414
0.17425776,0.17691414,0.17186055,0.17058308,0.17285404,0.17794052,0.17831336,0.1771066,0.17117925
0.17657319,0.18379623,0.19362542,0.18343545,0.14779009,0.17691414,0.17186055,0.1791747,0.18379623
0.18343545,0.18379623,0.14779009,0.17691414,0.1791747,0.17117925,0.17285404,0.17285404,0.17186055
0.17691414,0.17186055,0.1791747,0.17117925,0.17285404,0.17831336,0.1771066,0.17824191,0.17285404
0.18379623,0.19362542,0.19058736,0.18379623,0.14779009,0.17186055,0.1791747,0.1791747,0.14779009
0.18379623,0.14779009,0.14779009,0.17186055,0.1791747,0.17285404,0.17285404,0.1833759,0.1791747
0.17186055,0.1791747,0.1791747,0.17285404,0.1833759,0.1771066,0.17824191,0.186586,0.17285404
0.16683537,0.17079397,0.16719423,0.1617382,0.16703121,0.1645504,0.16834676,0.16703121,0.17079397
0.1617382,0.17079397,0.16703121,0.1645504,0.16703121,0.15753852,0.16015214,0.16015214,0.16834676
0.19550124,0.17793311,0.18932141,0.18780784,0.18190883,0.19362542,0.19058736,0.19058736,0.17966522
0.18780784,0.17966522,0.18190883,0.19362542,0.19058736,0.14779009,0.14779009,0.18626682,0.19058736
0.19362542,0.19058736,0.19058736,0.14779009,0.18626682,0.1791747,0.1791747,0.18489264,0.14779009
0.14779009,0.14779009,0.18626682,0.1791747,0.18489264,0.17285404,0.1833759,0.19117945,0.1791747
0.1791747,0.1791747,0.18489264,0.17285404,0.19117945,0.17824191,0.186586,0.186586,0.1833759
0.17079397,0.16719423,0.17012617,0.17079397,0.16904703,0.16834676,0.16703121,0.1709016,0.16703121
0.17079397,0.16703121,0.16904703,0.16834676,0.1709016,0.16015214,0.16015214,0.15909287,0.16703121
0.17793311,0.18932141,0.19428799,0.17966522,0.18190883,0.19058736,0.19058736,0.19364092,0.18190883
0.17966522,0.18190883,0.18190883,0.19058736,0.19364092,0.14779009,0.18626682,0.18998745,0.19058736
0.19058736,0.19058736,0.19364092,0.14779009,0.18998745,0.1791747,0.18489264,0.19050512,0.18626682
